,Unnamed: 0,time,input,ticks,velocity,position,time_diff,position_diff,calculated_velocity,noisy_velocity,window_2,window_4,window_6,window_8
5183,5183,1630.415684012,-7170,-21677,-86.75104378691798,-862.4801061007958,0.010091458000033526,-0.875331564986709,-86.73985116757171,-86.70310012651765,-82.72681824569008,-83.96808487815909,-84.21654791539872,-83.93629398851355
5184,5184,1630.425757138,-7160,-21697,-78.99056896745473,-863.2758620689656,0.0100731260001794,-0.7957559681698285,-78.99791665026888,-78.8938735610044,-82.79848684376105,-82.92085579786213,-82.88004396861244,-83.39572069117128
5185,5185,1630.435768806,-7150,-21719,-87.43660026033452,-864.1511936339523,0.010011667999833662,-0.875331564986709,-87.43114184382185,-87.62664672085367,-83.26026014092906,-82.99353919330954,-83.7321432990824,-83.97747597178129
5186,5186,1630.445852452,-7140,-21739,-78.91957782678537,-864.946949602122,0.010083646000111912,-0.7957559681697148,-78.91550022292365,-78.9523941668268,-83.28952044384027,-83.04400364380064,-83.04374401318817,-82.9824130874194
5187,5187,1630.456036774,-7130,-21761,-85.93090601023039,-865.8222811671087,0.010184321999986423,-0.875331564986709,-85.94892865601422,-85.92754777662012,-82.43997097172348,-82.85011555632624,-82.80901645278085,-83.40910021724267
5188,5188,1630.466265627,-7120,-21783,-85.5764927806034,-866.6976127320954,0.010228852999944138,-0.875331564986709,-85.57475261317074,-85.66655022363182,-85.797049000126,-84.5432847219831,-83.96168542924242,-83.73207025992261
5189,5189,1630.476450678,-7110,-21804,-82.0480322201708,-867.5331564986737,0.010185051000007661,-0.8355437665783256,-82.03628696387452,-81.86317000069779,-83.76486011216483,-83.10241554194414,-83.15503040827242,-83.04797736762683
5190,5190,1630.48656797,-7100,-21825,-82.57551820653804,-868.368700265252,0.01011729199990441,-0.8355437665782119,-82.58571232164756,-82.64925330967044,-82.25621165518415,-84.02663032765504,-83.7809270330501,-83.53531698572783
5191,5191,1630.496613023,-7090,-21846,-83.1671172924541,-869.2042440318303,0.010045053000112603,-0.8355437665783256,-83.17962748120486,-83.18375674990558,-82.91650502978804,-83.34068257097641,-83.04044537122542,-83.09539906365133
5192,5192,1630.506711513,-7080,-21867,-82.75954570494443,-870.0397877984085,0.0100984900000185,-0.8355437665782119,-82.73947556284962,-82.6838733531654,-82.93381505153552,-82.5950133533598,-83.66235856894853,-83.56914903767145
5193,5193,1630.516801877,-7070,-21889,-86.7474501451819,-870.9151193633953,0.010090364000006957,-0.8753315649868227,-86.7492555259869,-86.80838400486708,-84.74612867901627,-83.83131685440213,-83.80916460698968,-83.46686619817312
5194,5194,1630.526934898,-7060,-21910,-82.4566803459825,-871.7506631299735,0.010133021000001463,-0.8355437665782119,-82.45751850095755,-82.64217580573799,-84.72527990530256,-83.82954747841902,-83.30510220400738,-83.92808890303702
5195,5195,1630.53696943,-7050,-21931,-83.23356951032662,-872.5862068965516,0.010034531999963292,-0.8355437665780983,-83.26683960758258,-83.30970506027424,-82.97594043300614,-83.86103455601118,-83.54619138060345,-83.6008585634938
5196,5196,1630.54718594,-7040,-21953,-85.69955454040475,-873.4615384615383,0.010216509999963819,-0.875331564986709,-85.67813910912915,-85.57519505353645,-84.44245005690537,-84.58386498110394,-84.03384833791445,-83.58943916723187
5197,5197,1630.557205211,-7030,-21973,-79.43491757749783,-874.2572944297083,0.010019271000146546,-0.7957559681699422,-79.42254163584388,-79.4562311485224,-82.51571310102946,-82.74582676701777,-83.41259407101727,-83.28857181070995
5198,5198,1630.567385107,-7020,-21995,-85.97751375496243,-875.132625994695,0.01017989599995417,-0.875331564986709,-85.98629740329861,-86.07094083344451,-82.76358599098349,-83.6030180239444,-83.97710531773045,-83.71628275118171
5199,5199,1630.577484013,-7010,-22017,-86.69420797857731,-876.0079575596817,0.010098905999939234,-0.875331564986709,-86.67588004007325,-86.58331281912298,-86.32712682628377,-84.42141996365659,-83.93959345343977,-84.14122725983388
5200,5200,1630.587701408,-7000,-22037,-77.88763164127771,-876.8037135278515,0.01021739499992691,-0.7957559681698285,-77.88247084266791,-77.91554833227022,-82.24943057569664,-82.50650828334003,-83.1518222078618,-83.54518663222198
5201,5201,1630.59776271,-6990,-22059,-86.92782589204552,-877.6790450928382,0.010061302000167416,-0.875331564986709,-86.99983013849936,-87.05084621986438,-82.48319727606733,-84.40516205117552,-83.77534573446016,-83.57549440909665
5202,5202,1630.607820055,-6980,-22080,-83.13781463660312,-878.5145888594166,0.010057344999950146,-0.8355437665783256,-83.07796606186497,-83.06302045289864,-85.05693333638155,-83.65318195603905,-83.35664996768719,-83.62809998999172
5203,5203,1630.61799021,-6970,-22102,-86.07437657138344,-879.3899204244033,0.010170154999968872,-0.875331564986709,-86.06865529477065,-85.99158027380876,-84.52730036335373,-83.5052488197105,-84.44587482190158,-83.96333439168355
5204,5204,1630.628250053,-6960,-22123,-81.43992739254195,-880.2254641909814,0.010259843000085311,-0.8355437665780983,-81.43826046569627,-81.20008911252302,-83.59583469316593,-84.3263840147737,-83.634066201748,-83.41644614905687
5205,5205,1630.638431615,-6950,-22145,-85.92344097752787,-881.1007957559682,0.010181561999843325,-0.8753315649868227,-85.97222754232529,-85.88950393155955,-83.54479652204131,-84.03604844269749,-83.5184313871541,-84.22060524693651
5206,5206,1630.648573229,-6940,-22166,-82.39992080814336,-881.9363395225464,0.010141614000076515,-0.8355437665782119,-82.38765215989369,-82.27166816325486,-84.08058604740722,-83.83821037028655,-84.24445135898486,-83.7456961631628
5207,5207,1630.658761353,-6930,-22187,-82.02789495124722,-882.7718832891246,0.01018812400002389,-0.8355437665782119,-82.01154271151908,-82.06213933141787,-82.16690374733639,-82.85585013468882,-83.41300021091045,-83.18054947719966
5208,5208,1630.668886666,-6920,-22209,-86.43515345812638,-883.6472148541113,0.010125312999889502,-0.875331564986709,-86.44982777285617,-86.55241458345311,-84.30727695743552,-84.19393150242135,-83.9945658993362,-84.26015775859753
5209,5209,1630.67898078,-6910,-22230,-82.7967040179842,-884.4827586206897,0.010094114000139598,-0.8355437665783256,-82.77534477684425,-82.76911164188233,-84.66076311266775,-83.41383343000204,-83.45748779401512,-83.72494093634977
5210,5210,1630.689107239,-6900,-22251,-82.5079856329783,-885.318302387268,0.010126458999820898,-0.8355437665783256,-82.51095141876381,-82.50023442723786,-82.63467303456012,-83.47097499599779,-83.67417867980093,-83.65459268314217
5211,5211,1630.699149166,-6890,-22272,-83.20119590019394,-886.1538461538462,0.010041927000202122,-0.8355437665782119,-83.20552086879285,-83.31337214292931,-82.90680328508361,-83.78378319887565,-83.2448233816959,-83.31981666678223
5212,5212,1630.709207969,-6880,-22293,-83.06765006959573,-886.9893899204245,0.010058802999992622,-0.8355437665783256,-83.06592410438284,-83.08345355737325,-83.1984128501513,-82.91654294235569,-83.38012094738228,-83.55523722238851
5213,5213,1630.719304063,-6870,-22315,-86.71567911943234,-887.8647214854112,0.010096093999891309,-0.875331564986709,-86.7000213147909,-86.66008955461899,-84.87177155599615,-83.88928742053986,-84.14644598458248,-83.65156042527094
5214,5214,1630.729380678,-6860,-22335,-78.96362086019903,-888.6604774535808,0.010076615000116362,-0.7957559681696011,-78.97056384117205,-78.93452450167024,-82.79730702814464,-82.99785993914794,-82.87679763761867,-83.23441746757287
5215,5215,1630.73942771,-6850,-22357,-87.13785561670073,-889.5358090185676,0.01004703199987489,-0.8753315649868227,-87.12339773554248,-87.07296895020406,-83.00374672593718,-83.93775914096663,-83.59410718900561,-83.86077116992115
5216,5216,1630.749640574,-6840,-22379,-85.70479888189371,-890.4111405835544,0.010212864000095578,-0.875331564986709,-85.70872626704097,-85.67962979402724,-86.37629937211568,-84.58680320013013,-84.12400641680385,-83.7516730712429
5217,5217,1630.759862135,-6830,-22400,-81.73825880724114,-891.2466843501326,0.010221560999980284,-0.8355437665782119,-81.74326471072507,-81.79396557665207,-83.73679768533968,-83.3702722056384,-83.87077198909098,-83.62977981308913
5218,5218,1630.77001927,-6820,-22421,-82.2056936068944,-892.0822281167109,0.010157134999872142,-0.8355437665783256,-82.26175654737713,-82.31314661004201,-82.05355609334707,-84.21492773273135,-83.7423874978691,-83.60639383593966
5219,5219,1630.78011651,-6810,-22443,-86.68437774597237,-892.9575596816976,0.010097240000050078,-0.875331564986709,-86.69018117647671,-86.8100763162761,-84.56161146315908,-84.14920457424935,-83.76738529147862,-84.043481857608
